"","Date","Total","Anger","Trust"
"104",2020-06-12,418,0.0143540669856459,0.062200956937799
"105",2020-06-13,224,0.0446428571428571,0.0625
"106",2020-06-14,315,0.0349206349206349,0.0571428571428571
"107",2020-06-15,390,0.0384615384615385,0.0666666666666667
"108",2020-06-16,445,0.0224719101123595,0.0471910112359551
"109",2020-06-17,411,0.0316301703163017,0.0681265206812652
"110",2020-06-18,480,0.0333333333333333,0.0604166666666667
"111",2020-06-19,361,0.0415512465373961,0.0941828254847645
"112",2020-06-20,251,0.0438247011952191,0.0597609561752988
"113",2020-06-21,308,0.038961038961039,0.0584415584415584
"114",2020-06-22,389,0.0437017994858612,0.0437017994858612
"115",2020-06-23,244,0.0327868852459016,0.0819672131147541
"116",2020-06-24,278,0.0467625899280576,0.0611510791366906
"117",2020-06-25,266,0.0338345864661654,0.0714285714285714
"118",2020-06-26,259,0.0386100386100386,0.0810810810810811
"119",2020-06-27,164,0.0426829268292683,0.0609756097560976
"120",2020-06-28,144,0.0277777777777778,0.0416666666666667
"121",2020-06-29,262,0.00763358778625954,0.0458015267175573
"122",2020-06-30,323,0.0526315789473684,0.0743034055727554
"123",2020-07-01,324,0.0185185185185185,0.0617283950617284
"124",2020-07-02,322,0.046583850931677,0.077639751552795
"125",2020-07-03,213,0.0234741784037559,0.0422535211267606
"126",2020-07-04,181,0.0276243093922652,0.0883977900552486
"127",2020-07-05,188,0.0372340425531915,0.0319148936170213
"128",2020-07-06,220,0.0409090909090909,0.0545454545454545
"129",2020-07-07,255,0.0235294117647059,0.0745098039215686
"130",2020-07-08,211,0.00947867298578199,0.0758293838862559
"131",2020-07-09,228,0.0175438596491228,0.0657894736842105
"132",2020-07-10,187,0.0267379679144385,0.0748663101604278
"133",2020-07-11,131,0.0305343511450382,0.106870229007634
"134",2020-07-12,144,0.0277777777777778,0.0555555555555556
"135",2020-07-13,190,0.0315789473684211,0.0473684210526316
"136",2020-07-14,215,0.0372093023255814,0.0418604651162791
"137",2020-07-15,173,0.0404624277456647,0.0173410404624277
"138",2020-07-16,184,0.0597826086956522,0.0706521739130435
"139",2020-07-17,171,0.0350877192982456,0.0584795321637427
"140",2020-07-18,144,0.0555555555555556,0.0486111111111111
"141",2020-07-19,187,0.053475935828877,0.053475935828877
"142",2020-07-20,235,0.0595744680851064,0.0595744680851064
"143",2020-07-21,210,0.0333333333333333,0.1
"144",2020-07-22,233,0.0429184549356223,0.0729613733905579
"145",2020-07-23,188,0.0585106382978723,0.0585106382978723
"146",2020-07-24,286,0.0559440559440559,0.0734265734265734
"147",2020-07-25,193,0.0725388601036269,0.0310880829015544
"148",2020-07-26,206,0.0388349514563107,0.0679611650485437
"149",2020-07-27,224,0.0401785714285714,0.102678571428571
"150",2020-07-28,216,0.0509259259259259,0.0648148148148148
"151",2020-07-29,235,0.0212765957446809,0.0595744680851064
"152",2020-07-30,301,0.0332225913621262,0.0564784053156146
"153",2020-08-01,192,0.0833333333333333,0.0520833333333333
"154",2020-08-02,226,0.0486725663716814,0.084070796460177
"155",2020-08-03,234,0.0769230769230769,0.0512820512820513
"156",2020-08-04,369,0.040650406504065,0.0487804878048781
"157",2020-08-05,415,0.0554216867469879,0.0554216867469879
"158",2020-08-06,404,0.0594059405940594,0.0420792079207921
"159",2020-08-07,475,0.0484210526315789,0.0505263157894737
"160",2020-08-08,368,0.0407608695652174,0.0407608695652174
"161",2020-08-09,273,0.0695970695970696,0.0586080586080586
"162",2020-08-10,485,0.0412371134020619,0.0742268041237113
"163",2020-08-11,460,0.0543478260869565,0.05
"164",2020-08-12,513,0.050682261208577,0.0409356725146199
"165",2020-08-13,395,0.0455696202531646,0.0430379746835443
"166",2020-08-14,436,0.0504587155963303,0.0596330275229358
"167",2020-08-15,595,0.0554621848739496,0.0672268907563025
"168",2020-08-16,366,0.0437158469945355,0.0628415300546448
